Element Type,ID,Name,Class Name,CSS Selector,XPath,Outer HTML,Timestamp
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(4) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""3"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(4) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""3"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(4) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/3"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(5) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""4"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(5) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""4"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(5) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/4"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(6) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""5"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(6) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""5"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(6) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/5"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(7) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""6"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(7) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""6"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(7) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/6"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(8) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""7"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(8) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""7"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(8) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/7"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(9) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""8"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.632Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(9) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""8"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(9) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/8"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(10) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""11"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(10) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""11"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(10) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/11"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(11) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""12"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(11) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""12"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(11) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/12"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(12) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""13"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(12) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""13"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(12) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/13"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(13) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""14"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(13) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""14"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(13) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/14"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(14) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""15"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(14) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""15"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(14) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/15"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(15) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""16"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(15) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""16"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.633Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(15) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/16"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(16) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""18"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(16) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""18"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(16) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/18"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(17) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""19"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(17) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""19"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(17) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/19"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(18) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""20"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(18) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""20"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(18) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/20"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(19) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""21"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(19) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""21"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(19) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/21"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(20) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""22"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(20) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""22"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(20) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/22"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(21) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""23"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(21) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""23"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(21) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/23"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(22) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.productinfo.text-center:nth-of-type(1) > a.btn.btn-default.add-to-cart","<a data-product-id=""24"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","btn btn-default add-to-cart","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(22) > div.product-image-wrapper > div.single-products:nth-of-type(1) > div.product-overlay:nth-of-type(2) > div.overlay-content > a.btn.btn-default.add-to-cart","<a data-product-id=""24"" class=""btn btn-default add-to-cart""><i class=""fa fa-shopping-cart""></i>Add to cart</a>","2025-04-05T17:23:40.634Z"
"a","No ID","No Name","N/A","a","html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9.padding-right:nth-of-type(2) > div.features_items:nth-of-type(1) > div.col-sm-4:nth-of-type(22) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav.nav-pills.nav-justified > li > a","<a href=""/product_details/24"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>","2025-04-05T17:23:40.634Z"
